Sattelspitze	id=g:6939577
Königskogel	id=g:6939578
Gundkopf	id=g:6939579
Schönfeldspitz	id=g:6939580
Handschuhspitze	id=g:6939584
Auf der Platte	id=g:6939586
Höllkopf	id=g:6939588
Gacher Blick	id=g:6939589
Saalbachkogel	id=g:6939592
Zwölferspitze	id=g:6939593
Wasserfallkar Spitze	id=g:6939594
Elferspitze	id=g:6939595
Muttekopf	id=g:6939596
Hählekopf	id=g:6939597
Gehrenspitz	id=g:6939598
Engelspitze	id=g:6939599
Kaskarspitze	id=g:6939600
Schwellenspitze	id=g:6939602
Schweineck	id=g:6939603
Gamskarspitz	id=g:6939604
Leuenkopf	id=g:6939605
Giblenkopf	id=g:6939606
Pellinger Köpfl	id=g:6939607
Talsenhöhe	id=g:6939608
Großes Bärneck	id=g:6939609
Strahlkopf	id=g:6939610
Breiteggspitze	id=g:6939611
Stemmerkogel	id=g:6939612
Wamperter Schrofen	id=g:6939613
Karkopf	id=g:6939614
Schönbichlkopf	id=g:6939615
Lämpersberg	id=g:6939616
Lachenkopf	id=g:6939618
Guntenspitz	id=g:6939619
Schöner Mann	id=g:6939620
Gopfberg	id=g:6939621
Vorderer Drachenkopf	id=g:6939622
Mugel	id=g:6939623
Roßeck	id=g:6939625
Grüne Köpfe	id=g:6939626
Sandegg	id=g:6939628
Mohrenkopf	id=g:6939630
Wildkarspitze	id=g:6939631
Zwölferkogel	id=g:6939632
Steinernes Mandl	id=g:6939633
Frießenkogel	id=g:6939634
Spitz Christi	id=g:6939636
Steinmandl	id=g:6939637
Schachtkopf	id=g:6939638
Breitenkopf	id=g:6939639
Sunntigerspitze	id=g:6939640
Riesnerkrispen	id=g:6939641
Schattberg-West	id=g:6939642
Breiteggern	id=g:6939643
Ahornstein	id=g:6939644
Tristkogel	id=g:6939646
Sonnenspitze	id=g:6939648
Grinnköpfl	id=g:6939649
Wasenkopf	id=g:6939650
Sevisschrofen	id=g:6939651
Toreck	id=g:6939654
Rauher Kopf	id=g:6939657
Ob.Gottesackerwand	id=g:6939659
Saalkogel	id=g:6939661
Breitenberg	id=g:6939665
Torkopf	id=g:6939666
Kähberg	id=g:6939667
Rosskarspitzen	id=g:6939668
Hirscheck	id=g:6939669
Grinnberg	id=g:6939671
Schreinl	id=g:6939672
Hälikopf	id=g:6939675
Grubachspitze	id=g:6939676
Sienspitz	id=g:6939678
Kreuzspitze	id=g:6939679
Mährenhöhe	id=g:6939680
Kluppenkarkopf	id=g:6939681
