Bell Cemetery	id=g:4181828
Bell Creek	id=g:4181829
Bell Cemetery	id=g:4181830
Bell Creek	id=g:4181831
Bell Creek	id=g:4181832
Bell Dam	id=g:4181833
Bell Ferry (historical)	id=g:4181834
Bell Gap	id=g:4181835
Bell Industrial Park	id=g:4181836
Bell Knob	id=g:4181837
Bell Lake	id=g:4181838
Bell Lake	id=g:4181839
Bell Lake	id=g:4181840
Bell Lake	id=g:4181841
Bell Lake Dam	id=g:4181842
Bell Lake Park	id=g:4181843
Bell Memorial Park	id=g:4181844
Bell Mission Church	id=g:4181845
Bell Park	id=g:4181846
Bell Pond	id=g:4181847
Bell Pond	id=g:4181848
Bell Pond Dam	id=g:4181849
Bell Pond Dam	id=g:4181850
Bell Scene Church	id=g:4181851
Bell School	id=g:4181852
Bell School (historical)	id=g:4181853
Bell View (historical)	id=g:4181854
Bell-Dixon School (historical)	id=g:4181855
Bell-Star Mine	id=g:4181856
Bellcamp Ridge	id=g:4181857
Belle Grove	id=g:4181858
Belle Isle	id=g:4181859
Belle Isle Church	id=g:4181860
Belle Meade Country Club	id=g:4181861
Belle Point	id=g:4181862
Belle Point Creek	id=g:4181863
Bell Dam	id=g:4181864
Belle Vista	id=g:4181865
Bellemead	id=g:4181866
Belleview	id=g:4181867
Belleview Church	id=g:4181868
Belleview School (historical)	id=g:4181869
Bellevue	id=g:4181870
Bellevue	id=g:4181871
Bellevue Memorial Gardens	id=g:4181872
Bellevue Plantation (historical)	id=g:4181873
Bellevue School	id=g:4181874
Bellmead Shopping Center	id=g:4181875
Bells Branch	id=g:4181876
Belle Point Estates	id=g:4181877
Bells Ferry Church	id=g:4181878
Bells Ferry Landing	id=g:4181879
Bells Ferry Landing Shopping Center	id=g:4181880
Bells Ferry Park	id=g:4181881
Bells Ferry Place	id=g:4181882
Bells Ferry Elementary School	id=g:4181883
Bells Grove Church	id=g:4181884
Bells Lake	id=g:4181885
Bells Lake Dam	id=g:4181886
Bells Lake Dam Two	id=g:4181887
Bells Landing	id=g:4181888
Bells Mill (historical)	id=g:4181889
Bells Mill Access Point	id=g:4181890
