Ehlershausen Bahnhof	id=g:6948935
Schwarzenstein	id=g:6948978
Ilkerbruch	id=g:6949006
Thannerhof b. Neukirchen-Haggn	id=g:6949368
Siegbach	id=g:6949638
Hinterviechtach bei Kollnburg	id=g:6950467
Bahnhof Herzogenrath	id=g:6950831
Bahnhof Übach-Palenberg	id=g:6950832
Bahnhof Geilenkirchen	id=g:6950833
Paulsmuhle	id=g:6950978
Biederbach Baden-Wurttemberg	id=g:6951078
Freiburg bei Hamburg	id=g:6951113
Thollhaus	id=g:6951348
Meliá Düsseldorf	id=g:6951467
Bahnhof Krefeld-Uerdingen	id=g:6951578
Bayerwerk	id=g:6951579
Bahnhof Rheinhausen	id=g:6951581
Bahnhof Rheinhausen Ost	id=g:6951582
Duisburg Hbf	id=g:6951587
Bahnhof Duisburg-Bissingheim	id=g:6951588
Bahnhof Duisburg Schlenk	id=g:6951589
Bahnhof Duisburg-Buchholz	id=g:6951590
Bahnhof Duisburg-Großenbaum	id=g:6951591
