Mount Dryburgh	id=g:6211626
PARSONS ROCK SPURS	id=g:6211627
Rugged Ridges	id=g:6211628
Wharekuri	id=g:6211629
Aviemore	id=g:6211630
Aviemore Dam	id=g:6211631
Roseneath	id=g:6211632
Mount Weta	id=g:6211633
Mount Bitterness	id=g:6211634
Bellamore	id=g:6211635
Pinegrove	id=g:6211636
Lake Waitaki	id=g:6211637
Waitaki Dam	id=g:6211638
Awakino	id=g:6211639
Little Awakino	id=g:6211640
Awakino Downs	id=g:6211641
Kurow Hill	id=g:6211642
SAINT MARYS RANGE	id=g:6211643
Sergeant Garveys Cairn	id=g:6211644
Kohurau	id=g:6211645
Big Ben	id=g:6211646
Awakino Ski Huts	id=g:6211647
Craigellacuie	id=g:6211648
Brooklyn	id=g:6211649
Domett Downs	id=g:6211650
Springhills	id=g:6211651
Glenmuir	id=g:6211652
Foothill Groves	id=g:6211653
Strachans	id=g:6211654
Riverside Flats	id=g:6211655
Hilles	id=g:6211656
Goldwyn	id=g:6211657
Dunrobin	id=g:6211658
Otiake	id=g:6211659
Ranui	id=g:6211660
Glen Cary	id=g:6211661
Tironui	id=g:6211662
Normanvale	id=g:6211663
Springside	id=g:6211664
Home Gully	id=g:6211665
Little Kye Burn	id=g:6211666
Little Kye Burn	id=g:6211667
Kye Burn	id=g:6211668
Kakanui River	id=g:6211669
Kye Burn	id=g:6211670
Old Hut Creek	id=g:6211671
Camp Creek	id=g:6211672
Boundary Creek	id=g:6211673
German Creek	id=g:6211674
Healy Creek	id=g:6211675
Timber Creek	id=g:6211676
Deep Creek	id=g:6211677
Saddle Creek	id=g:6211678
Roaring Meg	id=g:6211679
North Branch Kakanui River	id=g:6211680
South Branch Kakanui River	id=g:6211681
Branch Creek	id=g:6211682
Hectors Creek	id=g:6211683
Mole Hill Creek	id=g:6211684
South Branch Maerewhenua River	id=g:6211685
North Branch Maerewhenua River	id=g:6211686
Larne Creek	id=g:6211687
Deep Stream	id=g:6211688
Danseys Stream	id=g:6211689
Chinamans Creek	id=g:6211690
Rotten Creek	id=g:6211691
Gorge Creek	id=g:6211692
Awamoko Stream	id=g:6211693
Awamoko Stream	id=g:6211694
Slaty Stream	id=g:6211695
Thompsons Creek	id=g:6211696
Clarks Gully	id=g:6211697
Robertson Creek	id=g:6211698
Second Gully	id=g:6211699
Third Gully	id=g:6211700
Kauru River	id=g:6211701
Fuchsia Creek	id=g:6211702
Stony Creek	id=g:6211703
Karara Creek	id=g:6211704
Kokoamu Creek	id=g:6211705
Sheepwash Creek	id=g:6211706
Maerewhenua River	id=g:6211707
Otekaieke River	id=g:6211708
Otekaieke River	id=g:6211709
Jacksons Creek	id=g:6211710
Bushy Creek	id=g:6211711
Waikaura Creek	id=g:6211712
Otiake River	id=g:6211713
Swin Burn	id=g:6211714
Glenrowan	id=g:6211715
Kakanui Peak	id=g:6211716
Half Moon Hut	id=g:6211717
The Hectors	id=g:6211718
Scout Hill	id=g:6211719
Black Cap	id=g:6211720
