Srednyaya	id=g:2121000
Srednyaya	id=g:2121001
Srednyaya	id=g:2121002
Srednyaya	id=g:2121003
Srednyaya	id=g:2121004
Srednyaya	id=g:2121005
Sredniy Zaliv	id=g:2121006
Sredniy El’gen	id=g:2121007
Sredniy Asan	id=g:2121008
Vulkan Sredniy	id=g:2121009
Mys Sredniy	id=g:2121010
Mys Sredniy	id=g:2121011
Mys Sredniy	id=g:2121012
Mys Sredniy	id=g:2121013
Mys Sredniy	id=g:2121014
Mys Sredniy	id=g:2121015
Mys Sredniy	id=g:2121016
Mys Sredniy	id=g:2121017
Mys Sredniy	id=g:2121018
Mys Sredniy	id=g:2121019
Sredniy	id=g:2121020
Srednikan	id=g:2121021
Srednikan	id=g:2121022
Sredneye	id=g:2121023
Srednekolymskiy Rayon	id=g:2121024
Srednekolymsk	id=g:2121025
Srednekanskiy Rayon	id=g:2121026
Srednekan	id=g:2121027
Sredne-Kamchatsk	id=g:2121028
Proliv Srednego	id=g:2121029
Ostrova Srednego	id=g:2121030
Sredinny Khrebet	id=g:2121031
Sportivnyy	id=g:2121032
Spornoye	id=g:2121033
Zaliv Spokoynyy	id=g:2121034
Mys Spokoynyy	id=g:2121035
Mys Spokoynyy	id=g:2121036
Spokoynaya	id=g:2121037
Splavnoye	id=g:2121038
Splavnaya	id=g:2121039
Mys Spiridonova	id=g:2121040
Mys Spaseniya	id=g:2121041
Bukhta Spaseniya	id=g:2121042
Ostrov Spafar’yeva	id=g:2121043
Mys Soymonova	id=g:2121044
Soylyk	id=g:2121045
Soyenkotan	id=g:2121046
Sovkhoznoye	id=g:2121047
Sovetsko-Gavanskiy Rayon	id=g:2121048
Mys Sovetskiy	id=g:2121049
Stantsiya Sovetskaya Gavan’-Sortirovochnaya	id=g:2121050
Stantsiya Sovetskaya Gavan’	id=g:2121051
Sovetskaya Gavan’	id=g:2121052
Zaliv Sovetskaya Gavan’	id=g:2121053
Gora Sovetskaya	id=g:2121054
Gora Sovetskaya	id=g:2121055
Soukurdakh	id=g:2121056
Skala Sosedka	id=g:2121057
Soroma	id=g:2121058
Sordonnokh	id=g:2121059
Sordonnokh	id=g:2121060
Sordongnookh	id=g:2121061
Sordongnookh	id=g:2121062
Mys Sopochnyy	id=g:2121063
Sopochnyy	id=g:2121064
Sopochnoye	id=g:2121065
Gora Sopochnaya	id=g:2121066
Sopochnaya	id=g:2121067
Sopochnaya	id=g:2121068
