Hoonah Seaplane Base	id=g:5847172
Hog Rocks	id=g:5847173
Hoonah Bluff	id=g:5847174
Hoonah Glacier	id=g:5847175
Hoonah Point	id=g:5847176
Hoonah Harbor	id=g:5847177
Hoonah Island	id=g:5847178
The Horn Peaks	id=g:5847179
Hoot Island	id=g:5847180
Hoonah Sound	id=g:5847181
Mount Hoorts	id=g:5847182
Horn Mountain	id=g:5847183
Point Hope	id=g:5847184
Horn Cliffs	id=g:5847185
Port Houghton	id=g:5847186
Horseshoe Hole Campground	id=g:5847187
Horrible Mine	id=g:5847188
Horn Spire	id=g:5847189
The Horn	id=g:5847190
Horseshoe Basin	id=g:5847191
Horse Island	id=g:5847192
Horse Shoal	id=g:5847193
Port Houghton	id=g:5847194
Hose Point	id=g:5847195
Horseshoe Island	id=g:5847196
Horseshoe Island	id=g:5847197
Hotspur Island	id=g:5847198
Hosfords Sawmill	id=g:5847199
Hot Springs Bay	id=g:5847200
Kahaloa	id=g:5847201
Kahaloko	id=g:5847202
Kahalulu Gulch	id=g:5847203
Beauty Hole (historical)	id=g:5847204
Kahaluu	id=g:5847205
Kahalu‘u	id=g:5847206
Kahalu‘u	id=g:5847207
Kahaluu Bay	id=g:5847208
Kahaluu Beach Park	id=g:5847209
Kahaluu Elementary School	id=g:5847210
Kahaluu Forest Reserve	id=g:5847211
Kahalu‘u Landing	id=g:5847212
Kahalu‘u Pond	id=g:5847213
Kahalu‘u Regional Park	id=g:5847214
Kahalu‘u Stream	id=g:5847215
Kahalu‘u	id=g:5847216
Kahana	id=g:5847217
Kahana	id=g:5847218
Kahana	id=g:5847219
Kahana Bay	id=g:5847220
Kahana Bay Beach Park	id=g:5847221
Kahana Beach	id=g:5847222
Kahana Iki Stream	id=g:5847223
Kahana	id=g:5847224
Kahana Stream	id=g:5847225
Kahana Point	id=g:5847226
Kahana Stream	id=g:5847227
Kahana Stream	id=g:5847228
Kahana Valley	id=g:5847229
Kahana Valley State Park	id=g:5847230
Kahanaiki Gulch	id=g:5847231
Kahanaha Iki	id=g:5847232
Kahanamoku Lagoon	id=g:5847233
Kahananui	id=g:5847234
Kahananui Gulch	id=g:5847235
Kahanamoku Beach	id=g:5847236
Kahanui	id=g:5847237
Kahanui	id=g:5847238
‘Ili Kahaoloa	id=g:5847239
Kahapapa Fishpond	id=g:5847240
Kahau Gulch	id=g:5847241
Kahanui	id=g:5847242
Kahauiki	id=g:5847243
Kahauiki Gulch	id=g:5847244
Kahauiki Stream	id=g:5847245
Kahauale‘a	id=g:5847246
Kahauloa	id=g:5847247
Kahauloa	id=g:5847248
Kahauloa 2	id=g:5847249
Kahauloa Cove	id=g:5847250
Kahauloa One	id=g:5847251
Kahaumanu	id=g:5847252
Kahauna	id=g:5847253
Kahaupu Gulch	id=g:5847254
Kahauloa	id=g:5847255
Kahawaihapapa	id=g:5847256
Kahawaihapapa Gulch	id=g:5847257
Kahawai Beach Support Park	id=g:5847258
Kahawaiiki Gulch	id=g:5847259
Kahawaiiki Stream	id=g:5847260
Kahawaikōlono	id=g:5847261
Kahawaili‘ili‘i Gulch	id=g:5847262
Kahawainui Gulch	id=g:5847263
Kahawainui Stream	id=g:5847264
Kahe Beach Park	id=g:5847265
Kahe Power Plant	id=g:5847266
Kahea	id=g:5847267
Kahea Gulch	id=g:5847268
Kahe Point	id=g:5847269
Kāheawai	id=g:5847270
Kahei Four	id=g:5847271
Kahei Homesteads	id=g:5847272
Kahei One	id=g:5847273
Kahei One-Four	id=g:5847274
Kāhei Point	id=g:5847275
Kahei Three	id=g:5847276
Kahei Two	id=g:5847277
Kaheka	id=g:5847278
Kaheka Village	id=g:5847279
Kahekapō‘ele‘ele Valley	id=g:5847280
Kaheaka Reservoir	id=g:5847281
Kahele	id=g:5847282
Kahekili Leap	id=g:5847283
Kahelu Ridge	id=g:5847284
Kahelunui Valley	id=g:5847285
Kahelepo House	id=g:5847286
Kahenawai	id=g:5847287
Kaheo Point	id=g:5847288
Kaheu Gulch	id=g:5847289
Kahemano	id=g:5847290
Kahi Kani Park	id=g:5847291
Kahi Kani Park	id=g:5847292
Kahikinui Hawaiian Home Land	id=g:5847293
Kahikinui Forest Reserve	id=g:5847294
Kahikinui House	id=g:5847295
Kahikolu Church	id=g:5847296
Kahili	id=g:5847297
Kahili	id=g:5847298
Kahili	id=g:5847299
Kāhili	id=g:5847300
Kāhili Beach	id=g:5847301
Kāhili Falls	id=g:5847302
Kahiliholo Stream	id=g:5847303
Puu Kaheu	id=g:5847304
Kāhililoa	id=g:5847305
Kāhililoa	id=g:5847306
Kāhililoa	id=g:5847307
Kahilipali Kahaea	id=g:5847308
Kāhilipali Nui	id=g:5847309
Kāhilipali Point	id=g:5847310
Kahina Pokii Stream	id=g:5847311
Kahinaakalani	id=g:5847312
Kahinahina Forest Cabin	id=g:5847313
Kahinahina Ridge	id=g:5847314
Kahinahina Trail	id=g:5847315
Kahīnano	id=g:5847316
Kahinapōhaku	id=g:5847317
Kāhinawai Gulch	id=g:5847318
Kahilikalani	id=g:5847319
Kahi‘o	id=g:5847320
Kahiola	id=g:5847321
Kahipa	id=g:5847322
Kahi‘u Point	id=g:5847323
Kahiwa Falls	id=g:5847324
Kahiwa Gulch	id=g:5847325
Kahinihiniula	id=g:5847326
Kahoahuna Homesteads	id=g:5847327
Kahoaloha Valley	id=g:5847328
