Ahikopua Point	id=g:6234705
Pukekoromiko Point	id=g:6234706
The Sister Rocks	id=g:6234707
Matarangi Bluff	id=g:6234708
Matarangi Beach	id=g:6234709
Omara Spit	id=g:6234710
Owera Head	id=g:6234711
Te Rerenga	id=g:6234712
Wainuiototo Bay	id=g:6234713
New Chums Beach	id=g:6234714
Motukuku Point	id=g:6234715
Kennedy Bay	id=g:6234716
Tokangawha Point	id=g:6234717
Otama Beach	id=g:6234718
Waimata Stream	id=g:6234719
Tucks Bay	id=g:6234720
Long Bay	id=g:6234721
Hukanui Point	id=g:6234722
Ruffin Peninsula	id=g:6234723
Te Kapoai Bay	id=g:6234724
Tuateawa Point	id=g:6234725
Whanake Point	id=g:6234726
Tokaroa Rock	id=g:6234727
Motutupapaka Rock	id=g:6234728
Motuturua Rock	id=g:6234729
Pukenui Point	id=g:6234730
Ngamoko Stream	id=g:6234731
Kokohi Point	id=g:6234732
Haupapa Point	id=g:6234733
Kokumata Point	id=g:6234734
Waikawau	id=g:6234735
Puriora Point	id=g:6234736
Ahiroa Point	id=g:6234737
Te Anaputa Point	id=g:6234738
Puroa	id=g:6234739
Tahunatorea Stream	id=g:6234740
Onekura	id=g:6234741
Paeroa	id=g:6234742
Titimiri Point	id=g:6234743
Whanake	id=g:6234744
Mount Cook	id=g:6234745
Mohi Mountain	id=g:6234746
Kahutara	id=g:6234747
Anarake Point	id=g:6234748
Pukenui	id=g:6234749
Hapapawera	id=g:6234750
Tokatea	id=g:6234751
Kakahoroa	id=g:6234752
Haronga	id=g:6234753
Hikutawatawa	id=g:6234754
Kaipawa	id=g:6234755
Koputauaki	id=g:6234756
Rerenga	id=g:6234757
Koruakomako	id=g:6234758
Murphys Hill	id=g:6234759
Waitaia	id=g:6234760
Black Jack	id=g:6234761
Kaipapaka Stream	id=g:6234762
Mercury Islands (Iles d'Haussez)	id=g:6234763
Green Island	id=g:6234764
Double Island (Moturehu)	id=g:6234765
Korapuki Island	id=g:6234766
Tokaroa Rock	id=g:6234767
Von Luckners Cove	id=g:6234768
Tangiaro Stream	id=g:6234769
Kawetoto Reef	id=g:6234770
Gisborne Stream	id=g:6234771
Tuateawa	id=g:6234772
Taiharuru Stream	id=g:6234773
Matamataharakeke Stream	id=g:6234774
Colville	id=g:6234775
Umangawha Stream	id=g:6234776
