Phumĭ Rôkar Kâmbŏt	id=g:1825374
Phumĭ Rôkar Chuŏr	id=g:1825375
Phumĭ Rôkar Chuŏr	id=g:1825376
Phumĭ Rôkar	id=g:1825377
Phumĭ Rôkar	id=g:1825378
Phumĭ Rôkar	id=g:1825379
Phumĭ Rôkar	id=g:1825380
Phumĭ Rôkar	id=g:1825381
Phumĭ Rôkar	id=g:1825382
Phumĭ Rôkar	id=g:1825383
Phumĭ Rôka Péam (2)	id=g:1825384
Phumĭ Rôka Péam (1)	id=g:1825385
Phumĭ Rôka Kôy	id=g:1825386
Phumĭ Rôka Khtŭm	id=g:1825387
Phumĭ Rôka Khsâk	id=g:1825388
Phumĭ Rôka Kaông	id=g:1825389
Phumĭ Rôka Kândal	id=g:1825390
Phumĭ Rôka Ar Kraôm	id=g:1825391
Phumĭ Rôka	id=g:1825392
Phumĭ Rôka	id=g:1825393
Phumĭ Rôhăt Tœ̆k	id=g:1825394
Phumĭ Rôha Tĭl	id=g:1825395
Phumĭ Rôhăt	id=g:1825396
Phumĭ Rôhar	id=g:1825397
Phumĭ Rôhal (3)	id=g:1825398
Phumĭ Rôhal (1)	id=g:1825399
Phumĭ Rôhal Suŏng	id=g:1825400
Phumĭ Rôhal	id=g:1825401
Phumĭ Rôhal	id=g:1825402
Phumĭ Rôhăl	id=g:1825403
Phumĭ Rôha	id=g:1825404
Phumĭ Rœssei (2)	id=g:1825405
Phumĭ Rœssei (1)	id=g:1825406
Phumĭ Rœssei Tvéa (2)	id=g:1825407
Phumĭ Rœssei Tvéa (1)	id=g:1825408
Phumĭ Rœssei Tôtœ̆ng	id=g:1825409
Phumĭ Rœssei Thmei	id=g:1825410
Phumĭ Rœssei Thlôk	id=g:1825411
Phumĭ Rœssei Srŏk	id=g:1825412
Phumĭ Rœssei Srŏk	id=g:1825413
Phumĭ Rœssei Srŏk	id=g:1825414
Phumĭ Rœssei Srŏk	id=g:1825415
Phumĭ Rœssei Srŏk	id=g:1825416
Phumĭ Rœssei Sănh	id=g:1825417
Phumĭ Rœssei Prey	id=g:1825418
Phumĭ Rœssei Prey	id=g:1825419
Phumĭ Rœssei Preăh	id=g:1825420
Phumĭ Rœssei Lŭk	id=g:1825421
